Time R1 R2 R3 R4 R5
17.84 893 1320 2022 1127 394
17.85 907 1314 2015 1124 398
17.86 884 1324 2014 1111 401
17.86 891 1311 2014 1112 400
17.87 893 1311 1998 1089 397
17.88 895 1301 2012 1099 401
17.88 910 1293 2006 1094 393
17.89 903 1284 2007 1086 388
17.9 877 1287 2011 1090 393
17.9 863 1299 1997 1081 390
17.91 883 1295 1973 1064 391
17.92 872 1274 1980 1068 392
17.93 882 1267 1970 1064 401
17.93 871 1266 1963 1057 399
17.94 850 1254 1959 1052 391
17.94 864 1270 1972 1063 387
17.95 874 1264 1979 1069 384
17.96 893 1276 1984 1075 388
17.96 895 1292 1987 1074 390
17.97 913 1267 1997 1082 391
17.98 904 1270 2001 1083 388
17.98 891 1258 2010 1072 385
17.99 899 1273 2011 1071 388
18 898 1251 2012 1067 388
18 870 1248 2016 1074 392
18.01 871 1252 2000 1086 393
18.02 899 1261 1997 1087 392
18.03 900 1285 2014 1096 393
18.03 897 1294 2024 1098 399
18.04 898 1296 2029 1094 403
18.05 890 1276 2016 1107 401
18.05 884 1269 2033 1104 396
18.06 870 1259 2034 1107 394
18.07 872 1247 2024 1095 402
18.07 880 1240 2028 1083 405
18.08 872 1251 2035 1076 408
18.09 868 1265 2026 1081 406
18.09 890 1257 2026 1100 411
18.1 914 1254 2029 1098 409
18.11 905 1255 2015 1103 408
18.11 894 1268 2022 1110 412
18.12 886 1267 2020 1096 419
18.13 878 1269 2018 1084 417
18.13 869 1248 2007 1084 412
18.14 839 1273 1988 1078 416
18.15 837 1257 1973 1074 419
18.15 847 1254 1961 1073 417
18.16 850 1267 1966 1066 425
18.17 840 1271 1954 1079 430
18.17 861 1277 1952 1080 426
18.18 846 1270 1964 1077 425
18.19 862 1264 1963 1070 419
18.19 845 1268 1961 1086 418
18.2 853 1275 1969 1090 415
18.21 870 1291 1975 1090 410
18.21 881 1290 1989 1085 405
18.22 893 1284 1982 1077 404
18.23 921 1264 1979 1076 400
18.23 922 1268 1966 1098 406
18.24 902 1267 1960 1106 407
18.25 907 1274 1959 1098 406
18.25 907 1266 1956 1106 403
18.26 910 1256 1968 1110 408
18.27 919 1263 1966 1104 414
18.27 918 1266 1968 1092 416
18.28 907 1252 1956 1083 418
18.29 903 1258 1974 1090 409
18.29 874 1242 1958 1083 409
18.3 880 1249 1957 1081 409
18.31 874 1238 1969 1092 409
18.31 880 1237 1971 1098 402
18.32 868 1241 1976 1100 399
18.33 865 1252 1986 1085 394
18.33 841 1249 1991 1075 392
18.34 862 1245 1980 1065 400
18.35 879 1255 1982 1070 402
18.36 849 1266 2004 1063 408
18.36 853 1276 2011 1063 413
18.37 853 1282 2015 1067 415
18.38 887 1296 2019 1066 416
